nd_id,ca_id,dmnd_pf_id,grid_losses,grid_losses_absolute,dmnd_sum,dmnd_sum_yr2020,dmnd_sum_yr2025,dmnd_sum_yr2030,dmnd_sum_yr2035,dmnd_sum_yr2040,dmnd_sum_yr2045,dmnd_sum_yr2050,vc_dmnd_flex
0,0.0,3,0.0365996015205779,3326944.44444444,63215039.7196466,67167692.0270893,69682294.2750021,72506178.7642714,74657111.7793132,77663792.1688719,81024913.4786254,82845883.2147099,0.1
2,0.0,1,0.0395698647778493,25605000.0,521960095.871591,530338374.289231,545230008.276285,558988974.194226,561759631.553486,566236523.719015,573279191.662812,579824691.012632,0.1
3,0.0,2,0.06488524386555,35988888.8888889,439479331.035795,452228740.342757,457984660.149843,469293173.426525,489078721.420644,508539017.602615,527124181.335004,547509217.288968,0.1
4,0.0,4,0.0609908772749885,19716944.4444444,294098626.493388,304286819.264908,306304595.540728,313746111.824518,335788785.39974,359200526.904964,377537436.779579,394882826.982438,0.1
1,0.0,0,0.0413336227316051,142320.0,4744000.0,4895908.92269188,5006768.22824266,5080297.35947533,5153826.490708,5248848.75260866,5368757.79738809,5495454.14658899,0.1
5,0.0,43,0.0413336227316051,0.0,5587308.21608082,5766220.94339039,5896786.94413509,5983386.84116287,6069986.73819066,6181900.45471106,6323124.9051803,6472343.19014929,0.1
6,0.0,44,0.0413336227316051,0.0,5268912.3451522,5437629.6310383,5560755.25550286,5642420.20916075,5724085.16281864,5829621.41386509,5962798.11035968,6103513.10824234,0.1
7,0.0,45,0.0413336227316051,0.0,8110959.02469261,8370682.26602506,8560221.74391001,8685936.70166253,8811651.65941506,8974114.07134814,9179126.16066585,9395742.70450266,0.1
8,0.0,46,0.0413336227316051,0.0,133796.114624661,138567.46583916,142049.477742916,144358.975396171,146668.473049426,149653.05472379,153419.312515486,157398.754648634,0.1
9,0.0,47,0.0413336227316051,0.0,527074.945171227,545488.328731404,558925.952134632,567838.661388039,576751.370641446,588269.333722793,602803.906045678,618161.189770785,0.1
10,0.0,48,0.0413336227316051,0.0,405669.557872211,420185.217905051,430778.380879859,437804.458247508,444830.535615158,453910.389723082,465368.30075134,477474.772593031,0.1
11,0.0,49,0.0413336227316051,0.0,849039.415073612,878541.150047764,900070.772945636,914350.624632664,928630.47631969,947084.43906682,970371.58231406,994976.86536268,0.1
12,0.0,50,0.0413336227316051,0.0,1339014.57827154,1389628.71453133,1426565.63596764,1451064.61406809,1475563.59216853,1507223.81099412,1547175.99151673,1589389.61556376,0.1
13,0.0,51,0.0413336227316051,0.0,625913.340896322,648147.806935394,664373.960060835,675136.204303636,685898.448546437,699806.579995205,717357.317134278,735901.491936392,0.1
14,0.0,52,0.0413336227316051,0.0,1027232.14959033,1064438.56763561,1091590.8741219,1109600.05669905,1127609.2392762,1150882.64516786,1180251.46661164,1211282.67369256,0.1
15,0.0,53,0.0413336227316051,0.0,45039.10358515,46715.0683619645,47938.1452307163,48749.3696711285,49560.5941115406,50608.9457282819,51931.8656131367,53329.667733899,0.1
16,0.0,54,0.0413336227316051,0.0,2597776.69053472,2683300.1158999,2745712.95699754,2787109.22847281,2828505.49994808,2882002.22165201,2949509.98888058,3020838.94937194,0.1
17,0.0,55,0.0413336227316051,0.0,200227.353440911,206690.080798481,211406.4163978,214534.598121371,217662.779844943,221705.353273452,226806.695885183,232196.793655311,0.1
18,0.0,56,0.0413336227316051,0.0,3045776.46459579,3148318.40533591,3223150.93017842,3272784.7468591,3322418.56353976,3386560.72860543,3467502.03137823,3553024.91599759,0.1
19,0.0,57,0.0413336227316051,0.0,636945.256125611,657841.407915088,673090.89301955,683205.347259099,693319.801498647,706390.788917493,722885.130028756,740313.112818836,0.1
20,0.0,58,0.0413336227316051,0.0,1484086.44107656,1531608.77964596,1566289.38502461,1589291.826989,1612294.26895339,1642020.50255912,1679532.17794632,1719167.1550979,0.1
21,0.0,59,0.0413336227316051,0.0,1835452.44783789,1894225.97358408,1937117.41189449,1965565.81438724,1994014.21688,2030778.30738477,2077171.08782281,2126189.87393886,0.1
